Units: gt;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014
casestudy.fleetsegmentcode; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612; ITA DTS_VL0612;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1218;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA DTS_VL1840;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA PGP_VL0012;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1218;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;ITA TBB_VL1840;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DFN_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL0612;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1218;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;HRV DTS_VL1840;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612;SVN DFN_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;TBB;DFN;DFN;DFN;DFN;DFN;DFN;DFN;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DFN;DFN;DFN;DFN;DFN;DFN;DFN
casestudy.loa;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0012;VL0012;VL0012;VL0012;VL0012;VL0012;VL0012;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1218;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL1840;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612;VL0612
casestudy.month1;6;6;6;6;5;5;5;18;19;21;20;20;20;20;75;76;80;80;79;79;79;2;2;2;2;2;2;2;27;27;27;28;28;27;27;82;81;82;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month2;6;6;6;6;5;5;5;18;19;21;20;20;20;20;75;76;80;80;79;79;79;2;2;2;2;2;2;2;27;27;27;28;28;27;27;82;81;82;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month3;6;6;6;6;5;5;5;18;19;21;20;20;20;20;75;76;80;80;79;79;79;2;2;2;2;2;2;2;27;27;27;28;28;27;27;82;81;82;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month4;6;6;6;6;5;5;5;18;19;21;20;20;20;20;75;77;80;79;79;79;79;2;2;2;2;2;2;2;27;27;27;28;28;27;27;82;81;82;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month5;6;6;6;6;5;5;5;18;19;21;20;20;20;20;75;77;80;79;79;79;79;2;2;2;2;2;2;2;27;27;27;28;28;27;27;82;81;81;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month6;6;6;6;6;5;5;5;18;19;21;20;20;20;20;75;77;80;80;79;79;79;2;2;2;2;2;2;2;27;27;27;28;28;27;27;82;81;85;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month7;6;6;6;6;5;5;5;18;19;21;20;20;20;20;75;77;80;80;79;79;79;2;2;2;2;2;2;2;27;27;27;26;28;27;27;82;81;85;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month8;6;6;6;6;5;5;5;18;20;21;20;20;20;20;75;79;80;80;79;79;79;2;2;2;2;2;2;2;27;27;27;26;28;27;27;82;79;85;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month9;6;6;6;6;5;5;5;18;20;21;20;20;20;20;75;79;79;80;79;79;79;2;2;2;2;2;2;2;27;27;27;26;28;27;27;82;79;85;80;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month10;6;6;6;6;5;5;5;18;20;21;20;20;20;20;75;79;79;80;79;79;79;2;2;2;2;2;2;2;27;27;27;26;28;27;27;82;79;85;81;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month11;6;6;6;6;5;5;5;18;20;22;20;20;20;20;75;79;79;80;79;79;79;2;2;2;2;2;2;2;27;27;27;26;28;27;27;82;79;78;81;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
casestudy.month12;6;6;6;6;5;5;5;18;20;22;20;20;20;20;75;79;79;79;79;79;79;2;2;2;2;2;2;2;27;27;27;26;28;27;27;82;79;78;81;82;79;79;4;4;4;4;4;4;4;7;7;7;7;7;8;8;17;17;17;17;17;18;18;79;79;79;79;84;86;86;7;7;7;8;8;7;7
