Fishing Mortality;;;;;;;;;;;;;;;;;;;;
Age;2007;2008;2009;2010;2011;;;;;;;;;;;;;;;
0;0;0;0;0;0;;;;;;;;;;;;;;;
1;0.1;0.1;0.2;0.1;0;;;;;;;;;;;;;;;
2;0.9;1;0.9;0.4;0.4;;;;;;;;;;;;;;;
3;2.8;2.4;2.6;2.4;2.2;;;;;;;;;;;;;;;
4;2.8;2.1;2.3;2.7;2.3;;;;;;;;;;;;;;;
5;2.2;1.6;1.9;1.8;1.6;;;;;;;;;;;;;;;
6;2.2;1.6;1.9;1.8;1.6;;;;;;;;;;;;;;;
Natural Mortality;;;;;;;;;;;;;;;;;;;;
Age;2007;2008;2009;2010;2011;;;;;;;;;;;;;;;
0;1;1;1;1;1;;;;;;;;;;;;;;;
1;1;1;1;1;1;;;;;;;;;;;;;;;
2;0.6;0.6;0.6;0.6;0.6;;;;;;;;;;;;;;;
3;0.42;0.42;0.42;0.42;0.42;;;;;;;;;;;;;;;
4;0.36;0.36;0.36;0.36;0.36;;;;;;;;;;;;;;;
5;0.33;0.33;0.33;0.33;0.33;;;;;;;;;;;;;;;
6;0.31;0.31;0.31;0.31;0.31;;;;;;;;;;;;;;;
Maturity;;;;;;;;;;;;;;;;;;;;
Age;2007;2008;2009;2010;2011;;;;;;;;;;;;;;;
0;0;0;0;0;0;;;;;;;;;;;;;;;
1;0.1;0.1;0.1;0.1;0.1;;;;;;;;;;;;;;;
2;0.9;0.9;0.9;0.9;0.9;;;;;;;;;;;;;;;
3;1;1;1;1;1;;;;;;;;;;;;;;;
4;1;1;1;1;1;;;;;;;;;;;;;;;
5;1;1;1;1;1;;;;;;;;;;;;;;;
6;1;1;1;1;1;;;;;;;;;;;;;;;
stock.n;;;;;;;;;;;;;;;;;;;;
Age;2007;2008;2009;2010;2011;;;;;;;;;;;;;;;
0;131190;78262;51944;58061;68931;;;;;;;;;;;;;;;
1;131190;78262;51944;58061;68931;;;;;;;;;;;;;;;
2;47607;45420;26592;16216;20051;;;;;;;;;;;;;;;
3;11730;10453;8822;6052;5963;;;;;;;;;;;;;;;
4;568;455;632;452;358;;;;;;;;;;;;;;;
5;22;23;40;45;22;;;;;;;;;;;;;;;
6;0;0;0;0;0;;;;;;;;;;;;;;;
stock.wt;;;;;;;;;;;;;;;;;;;;
Age;2007;2008;2009;2010;2011;;;;;;;;;;;;;;;
0;0.005;0.005;0.005;0.005;0.005;;;;;;;;;;;;;;;
1;0.01;0.01;0.01;0.01;0.01;;;;;;;;;;;;;;;
2;0.04;0.04;0.04;0.04;0.04;;;;;;;;;;;;;;;
3;0.056;0.056;0.056;0.056;0.056;;;;;;;;;;;;;;;
4;0.062;0.062;0.062;0.062;0.062;;;;;;;;;;;;;;;
5;0.106;0.106;0.106;0.106;0.106;;;;;;;;;;;;;;;
6;0.117;0.117;0.117;0.117;0.117;;;;;;;;;;;;;;;
catch.n;;;;;;;;;;;;;;;;;;;;
Age;2007;2008;2009;2010;2011;;;;;;;;;;;;;;;
0;0;0;0;0;0;;;;;;;;;;;;;;;
1;4910.6;3802.4;5038;2259.7;1694.7;;;;;;;;;;;;;;;
2;22450.2;23198;12214.2;4095.7;5262.4;;;;;;;;;;;;;;;
3;9817.6;8351.4;7186.5;4849.1;4656.3;;;;;;;;;;;;;;;
4;482.89;353.26;506.52;379.2;285.98;;;;;;;;;;;;;;;
5;17.37;16.79;30.43;33.35;15.46;;;;;;;;;;;;;;;
6;0.26;0.23;0.04;0.02;0.01;;;;;;;;;;;;;;;
catch.wt;;;;;;;;;;;;;;;;;;;;
Age;2007;2008;2009;2010;2011;;;;;;;;;;;;;;;
0;0.005;0.005;0.005;0.005;0.005;;;;;;;;;;;;;;;
1;0.01;0.01;0.01;0.01;0.01;;;;;;;;;;;;;;;
2;0.04;0.04;0.04;0.04;0.04;;;;;;;;;;;;;;;
3;0.056;0.056;0.056;0.056;0.056;;;;;;;;;;;;;;;
4;0.062;0.062;0.062;0.062;0.062;;;;;;;;;;;;;;;
5;0.106;0.106;0.106;0.106;0.106;;;;;;;;;;;;;;;
6;0.117;0.117;0.117;0.117;0.117;;;;;;;;;;;;;;;
catch by fleet;;;;;;;;;;;;;;;;;;;;
Age;2007;2007;2007;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F by fleet;;;;;;;;;;;;;;;;;;;;
Age;2008;2008;2008;2009;2009;2009;2010;2010;2010;2011;2011;2011;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reference points;;;;;;;;;;;;;;;;;;;;
;F;Total Yield;Recruitment;SSB;Biomass;;;;;;;;;;;;;;;
f0.1;0.45;NA;NA;880;NA;;;;;;;;;;;;;;;
fmax;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;
spr.30;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;
msy;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Age range for F bar;;;;;;;;;;;;;;;;;;;;
min;max;;;;;;;;;;;;;;;;;;;
1;5;;;;;;;;;;;;;;;;;;;
