year;month;L50;L75_L25;discard;fleet_segment
;seed;122;1;YES;DTS_VL1218
2006;Jan;120;1;YES;DTS_VL1218
2006;Feb;120;1;YES;DTS_VL1218
2006;Mar;120;1;YES;DTS_VL1218
2006;Apr;120;1;YES;DTS_VL1218
2006;May;120;1;YES;DTS_VL1218
2006;Jun;120;1;YES;DTS_VL1218
2006;Jul;120;1;YES;DTS_VL1218
2006;Aug;120;1;YES;DTS_VL1218
2006;Set;120;1;YES;DTS_VL1218
2006;Oct;120;1;YES;DTS_VL1218
2006;Nov;120;1;YES;DTS_VL1218
2006;Dec;120;1;YES;DTS_VL1218
2007;Jan;123;1;YES;DTS_VL1218
2007;Feb;123;1;YES;DTS_VL1218
2007;Mar;123;1;YES;DTS_VL1218
2007;Apr;123;1;YES;DTS_VL1218
2007;May;123;1;YES;DTS_VL1218
2007;Jun;123;1;YES;DTS_VL1218
2007;Jul;123;1;YES;DTS_VL1218
2007;Aug;123;1;YES;DTS_VL1218
2007;Set;123;1;YES;DTS_VL1218
2007;Oct;123;1;YES;DTS_VL1218
2007;Nov;123;1;YES;DTS_VL1218
2007;Dec;123;1;YES;DTS_VL1218
2008;Jan;123;1;YES;DTS_VL1218
2008;Feb;123;1;YES;DTS_VL1218
2008;Mar;123;1;YES;DTS_VL1218
2008;Apr;123;1;YES;DTS_VL1218
2008;May;123;1;YES;DTS_VL1218
2008;Jun;123;1;YES;DTS_VL1218
2008;Jul;123;1;YES;DTS_VL1218
2008;Aug;123;1;YES;DTS_VL1218
2008;Set;123;1;YES;DTS_VL1218
2008;Oct;123;1;YES;DTS_VL1218
2008;Nov;123;1;YES;DTS_VL1218
2008;Dec;123;1;YES;DTS_VL1218
2009;Jan;130;1;YES;DTS_VL1218
2009;Feb;130;1;YES;DTS_VL1218
2009;Mar;130;1;YES;DTS_VL1218
2009;Apr;130;1;YES;DTS_VL1218
2009;May;130;1;YES;DTS_VL1218
2009;Jun;130;1;YES;DTS_VL1218
2009;Jul;130;1;YES;DTS_VL1218
2009;Aug;130;1;YES;DTS_VL1218
2009;Set;130;1;YES;DTS_VL1218
2009;Oct;130;1;YES;DTS_VL1218
2009;Nov;130;1;YES;DTS_VL1218
2009;Dec;130;1;YES;DTS_VL1218
2010;Jan;114;1;YES;DTS_VL1218
2010;Feb;114;1;YES;DTS_VL1218
2010;Mar;114;1;YES;DTS_VL1218
2010;Apr;114;1;YES;DTS_VL1218
2010;May;114;1;YES;DTS_VL1218
2010;Jun;114;1;YES;DTS_VL1218
2010;Jul;114;1;YES;DTS_VL1218
2010;Aug;114;1;YES;DTS_VL1218
2010;Set;114;1;YES;DTS_VL1218
2010;Oct;114;1;YES;DTS_VL1218
2010;Nov;114;1;YES;DTS_VL1218
2010;Dec;114;1;YES;DTS_VL1218
2011;Jan;111;1;YES;DTS_VL1218
2011;Feb;111;1;YES;DTS_VL1218
2011;Mar;111;1;YES;DTS_VL1218
2011;Apr;111;1;YES;DTS_VL1218
2011;May;111;1;YES;DTS_VL1218
2011;Jun;111;1;YES;DTS_VL1218
2011;Jul;111;1;YES;DTS_VL1218
2011;Aug;111;1;YES;DTS_VL1218
2011;Set;111;1;YES;DTS_VL1218
2011;Oct;111;1;YES;DTS_VL1218
2011;Nov;111;1;YES;DTS_VL1218
2011;Dec;111;1;YES;DTS_VL1218
2012;Jan;130;1;YES;DTS_VL1218
2012;Feb;130;1;YES;DTS_VL1218
2012;Mar;130;1;YES;DTS_VL1218
2012;Apr;130;1;YES;DTS_VL1218
2012;May;130;1;YES;DTS_VL1218
2012;Jun;130;1;YES;DTS_VL1218
2012;Jul;130;1;YES;DTS_VL1218
2012;Aug;130;1;YES;DTS_VL1218
2012;Set;130;1;YES;DTS_VL1218
2012;Oct;130;1;YES;DTS_VL1218
2012;Nov;130;1;YES;DTS_VL1218
2012;Dec;130;1;YES;DTS_VL1218
2013;Jan;117;1;YES;DTS_VL1218
2013;Feb;117;1;YES;DTS_VL1218
2013;Mar;117;1;YES;DTS_VL1218
2013;Apr;117;1;YES;DTS_VL1218
2013;May;117;1;YES;DTS_VL1218
2013;Jun;117;1;YES;DTS_VL1218
2013;Jul;117;1;YES;DTS_VL1218
2013;Aug;117;1;YES;DTS_VL1218
2013;Set;117;1;YES;DTS_VL1218
2013;Oct;117;1;YES;DTS_VL1218
2013;Nov;117;1;YES;DTS_VL1218
2013;Dec;117;1;YES;DTS_VL1218
2014;Jan;117;1;YES;DTS_VL1218
2014;Feb;117;1;YES;DTS_VL1218
2014;Mar;117;1;YES;DTS_VL1218
2014;Apr;117;1;YES;DTS_VL1218
2014;May;117;1;YES;DTS_VL1218
2014;Jun;117;1;YES;DTS_VL1218
2014;Jul;117;1;YES;DTS_VL1218
2014;Aug;117;1;YES;DTS_VL1218
2014;Set;117;1;YES;DTS_VL1218
2014;Oct;117;1;YES;DTS_VL1218
2014;Nov;117;1;YES;DTS_VL1218
2014;Dec;117;1;YES;DTS_VL1218
2015;Jan;122;1;YES;DTS_VL1218
2015;Feb;122;1;YES;DTS_VL1218
2015;Mar;122;1;YES;DTS_VL1218
2015;Apr;122;1;YES;DTS_VL1218
2015;May;122;1;YES;DTS_VL1218
2015;Jun;122;1;YES;DTS_VL1218
2015;Jul;122;1;YES;DTS_VL1218
2015;Aug;122;1;YES;DTS_VL1218
2015;Set;122;1;YES;DTS_VL1218
2015;Oct;122;1;YES;DTS_VL1218
2015;Nov;122;1;YES;DTS_VL1218
2015;Dec;122;1;YES;DTS_VL1218
2016;Jan;120;1;YES;DTS_VL1218
2016;Feb;120;1;YES;DTS_VL1218
2016;Mar;120;1;YES;DTS_VL1218
2016;Apr;120;1;YES;DTS_VL1218
2016;May;120;1;YES;DTS_VL1218
2016;Jun;120;1;YES;DTS_VL1218
2016;Jul;120;1;YES;DTS_VL1218
2016;Aug;120;1;YES;DTS_VL1218
2016;Set;120;1;YES;DTS_VL1218
2016;Oct;120;1;YES;DTS_VL1218
2016;Nov;120;1;YES;DTS_VL1218
2016;Dec;120;1;YES;DTS_VL1218
2017;Jan;117;1;YES;DTS_VL1218
2017;Feb;117;1;YES;DTS_VL1218
2017;Mar;117;1;YES;DTS_VL1218
2017;Apr;117;1;YES;DTS_VL1218
2017;May;117;1;YES;DTS_VL1218
2017;Jun;117;1;YES;DTS_VL1218
2017;Jul;117;1;YES;DTS_VL1218
2017;Aug;117;1;YES;DTS_VL1218
2017;Set;117;1;YES;DTS_VL1218
2017;Oct;117;1;YES;DTS_VL1218
2017;Nov;117;1;YES;DTS_VL1218
2017;Dec;117;1;YES;DTS_VL1218
2018;Jan;117;1;YES;DTS_VL1218
2018;Feb;117;1;YES;DTS_VL1218
2018;Mar;117;1;YES;DTS_VL1218
2018;Apr;117;1;YES;DTS_VL1218
2018;May;117;1;YES;DTS_VL1218
2018;Jun;117;1;YES;DTS_VL1218
2018;Jul;117;1;YES;DTS_VL1218
2018;Aug;117;1;YES;DTS_VL1218
2018;Set;117;1;YES;DTS_VL1218
2018;Oct;117;1;YES;DTS_VL1218
2018;Nov;117;1;YES;DTS_VL1218
2018;Dec;117;1;YES;DTS_VL1218
;seed;119;1;YES;DTS_VL1824
2006;Jan;118;1;YES;DTS_VL1824
2006;Feb;118;1;YES;DTS_VL1824
2006;Mar;118;1;YES;DTS_VL1824
2006;Apr;118;1;YES;DTS_VL1824
2006;May;118;1;YES;DTS_VL1824
2006;Jun;118;1;YES;DTS_VL1824
2006;Jul;118;1;YES;DTS_VL1824
2006;Aug;118;1;YES;DTS_VL1824
2006;Set;118;1;YES;DTS_VL1824
2006;Oct;118;1;YES;DTS_VL1824
2006;Nov;118;1;YES;DTS_VL1824
2006;Dec;118;1;YES;DTS_VL1824
2007;Jan;121;1;YES;DTS_VL1824
2007;Feb;121;1;YES;DTS_VL1824
2007;Mar;121;1;YES;DTS_VL1824
2007;Apr;121;1;YES;DTS_VL1824
2007;May;121;1;YES;DTS_VL1824
2007;Jun;121;1;YES;DTS_VL1824
2007;Jul;121;1;YES;DTS_VL1824
2007;Aug;121;1;YES;DTS_VL1824
2007;Set;121;1;YES;DTS_VL1824
2007;Oct;121;1;YES;DTS_VL1824
2007;Nov;121;1;YES;DTS_VL1824
2007;Dec;121;1;YES;DTS_VL1824
2008;Jan;121;1;YES;DTS_VL1824
2008;Feb;121;1;YES;DTS_VL1824
2008;Mar;121;1;YES;DTS_VL1824
2008;Apr;121;1;YES;DTS_VL1824
2008;May;121;1;YES;DTS_VL1824
2008;Jun;121;1;YES;DTS_VL1824
2008;Jul;121;1;YES;DTS_VL1824
2008;Aug;121;1;YES;DTS_VL1824
2008;Set;121;1;YES;DTS_VL1824
2008;Oct;121;1;YES;DTS_VL1824
2008;Nov;121;1;YES;DTS_VL1824
2008;Dec;121;1;YES;DTS_VL1824
2009;Jan;125;1;YES;DTS_VL1824
2009;Feb;125;1;YES;DTS_VL1824
2009;Mar;125;1;YES;DTS_VL1824
2009;Apr;125;1;YES;DTS_VL1824
2009;May;125;1;YES;DTS_VL1824
2009;Jun;125;1;YES;DTS_VL1824
2009;Jul;125;1;YES;DTS_VL1824
2009;Aug;125;1;YES;DTS_VL1824
2009;Set;125;1;YES;DTS_VL1824
2009;Oct;125;1;YES;DTS_VL1824
2009;Nov;125;1;YES;DTS_VL1824
2009;Dec;125;1;YES;DTS_VL1824
2010;Jan;114;1;YES;DTS_VL1824
2010;Feb;114;1;YES;DTS_VL1824
2010;Mar;114;1;YES;DTS_VL1824
2010;Apr;114;1;YES;DTS_VL1824
2010;May;114;1;YES;DTS_VL1824
2010;Jun;114;1;YES;DTS_VL1824
2010;Jul;114;1;YES;DTS_VL1824
2010;Aug;114;1;YES;DTS_VL1824
2010;Set;114;1;YES;DTS_VL1824
2010;Oct;114;1;YES;DTS_VL1824
2010;Nov;114;1;YES;DTS_VL1824
2010;Dec;114;1;YES;DTS_VL1824
2011;Jan;111;1;YES;DTS_VL1824
2011;Feb;111;1;YES;DTS_VL1824
2011;Mar;111;1;YES;DTS_VL1824
2011;Apr;111;1;YES;DTS_VL1824
2011;May;111;1;YES;DTS_VL1824
2011;Jun;111;1;YES;DTS_VL1824
2011;Jul;111;1;YES;DTS_VL1824
2011;Aug;111;1;YES;DTS_VL1824
2011;Set;111;1;YES;DTS_VL1824
2011;Oct;111;1;YES;DTS_VL1824
2011;Nov;111;1;YES;DTS_VL1824
2011;Dec;111;1;YES;DTS_VL1824
2012;Jan;130;1;YES;DTS_VL1824
2012;Feb;130;1;YES;DTS_VL1824
2012;Mar;130;1;YES;DTS_VL1824
2012;Apr;130;1;YES;DTS_VL1824
2012;May;130;1;YES;DTS_VL1824
2012;Jun;130;1;YES;DTS_VL1824
2012;Jul;130;1;YES;DTS_VL1824
2012;Aug;130;1;YES;DTS_VL1824
2012;Set;130;1;YES;DTS_VL1824
2012;Oct;130;1;YES;DTS_VL1824
2012;Nov;130;1;YES;DTS_VL1824
2012;Dec;130;1;YES;DTS_VL1824
2013;Jan;117;1;YES;DTS_VL1824
2013;Feb;117;1;YES;DTS_VL1824
2013;Mar;117;1;YES;DTS_VL1824
2013;Apr;117;1;YES;DTS_VL1824
2013;May;117;1;YES;DTS_VL1824
2013;Jun;117;1;YES;DTS_VL1824
2013;Jul;117;1;YES;DTS_VL1824
2013;Aug;117;1;YES;DTS_VL1824
2013;Set;117;1;YES;DTS_VL1824
2013;Oct;117;1;YES;DTS_VL1824
2013;Nov;117;1;YES;DTS_VL1824
2013;Dec;117;1;YES;DTS_VL1824
2014;Jan;117;1;YES;DTS_VL1824
2014;Feb;117;1;YES;DTS_VL1824
2014;Mar;117;1;YES;DTS_VL1824
2014;Apr;117;1;YES;DTS_VL1824
2014;May;117;1;YES;DTS_VL1824
2014;Jun;117;1;YES;DTS_VL1824
2014;Jul;117;1;YES;DTS_VL1824
2014;Aug;117;1;YES;DTS_VL1824
2014;Set;117;1;YES;DTS_VL1824
2014;Oct;117;1;YES;DTS_VL1824
2014;Nov;117;1;YES;DTS_VL1824
2014;Dec;117;1;YES;DTS_VL1824
2015;Jan;122;1;YES;DTS_VL1824
2015;Feb;122;1;YES;DTS_VL1824
2015;Mar;122;1;YES;DTS_VL1824
2015;Apr;122;1;YES;DTS_VL1824
2015;May;122;1;YES;DTS_VL1824
2015;Jun;122;1;YES;DTS_VL1824
2015;Jul;122;1;YES;DTS_VL1824
2015;Aug;122;1;YES;DTS_VL1824
2015;Set;122;1;YES;DTS_VL1824
2015;Oct;122;1;YES;DTS_VL1824
2015;Nov;122;1;YES;DTS_VL1824
2015;Dec;122;1;YES;DTS_VL1824
2016;Jan;115;1;YES;DTS_VL1824
2016;Feb;115;1;YES;DTS_VL1824
2016;Mar;115;1;YES;DTS_VL1824
2016;Apr;115;1;YES;DTS_VL1824
2016;May;115;1;YES;DTS_VL1824
2016;Jun;115;1;YES;DTS_VL1824
2016;Jul;115;1;YES;DTS_VL1824
2016;Aug;115;1;YES;DTS_VL1824
2016;Set;115;1;YES;DTS_VL1824
2016;Oct;115;1;YES;DTS_VL1824
2016;Nov;115;1;YES;DTS_VL1824
2016;Dec;115;1;YES;DTS_VL1824
2017;Jan;117;1;YES;DTS_VL1824
2017;Feb;117;1;YES;DTS_VL1824
2017;Mar;117;1;YES;DTS_VL1824
2017;Apr;117;1;YES;DTS_VL1824
2017;May;117;1;YES;DTS_VL1824
2017;Jun;117;1;YES;DTS_VL1824
2017;Jul;117;1;YES;DTS_VL1824
