Units: GT;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
casestudy.fleetsegmentcode;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP
casestudy.loa;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612
casestudy.month1;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month2;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month3;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month4;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month5;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month6;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month7;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month8;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month9;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month10;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month11;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
casestudy.month12;18.96;18.96;18.96;20.06;21.02;20.22;19.35;19.16;19.49;19.82;19.32;19.32;19.32;57.52702703;57.52702703;57.52702703;58.2875;57.96825397;60.06451613;63.74603175;62.78666667;63.97590361;64.37957484;60.98484848;60.98484848;60.98484848;3.008064516;3.008064516;3.008064516;3;3.001675042;3.00172117;3.001788909;3.001858736;3.026365348;3.028801356;3.030578536;3.030578536;3.030578536;4.275471698;4.275471698;4.275471698;4.254887218;4.25256975;4.249630724;4.222305389;4.215523738;4.229260935;4.204149548;4.147893427;4.147893427;4.147893427
