Units: KW;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
casestudy.fleetsegmentcode;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1218;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;DTS_VL1824;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0006;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612;PGP_VL0612
casestudy.fishingtechnique;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;DTS;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP;PGP
casestudy.loa;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1218;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_1824;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0006;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612;VL_0612
casestudy.month1;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month2;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month3;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month4;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month5;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month6;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month7;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month8;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month9;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month10;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month11;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
casestudy.month12;133.9333333;133.9333333;133.9333333;140.5792683;143.1730769;142.3648649;138.7346939;137.0629371;138.6126761;141.3494487;139.175302;139.175302;139.175302;257.7162162;257.7162162;257.7162162;264.0125;266.6031746;273.0645161;274.3015873;268.6533333;275.0963855;279.5457418;272.450303;272.450303;272.450303;9.78;9.78;9.78;9.79;9.96;10.04;10.05;10.02;10.4;10.51;10.41;10.41;10.41;36.92;36.92;36.92;37.47;37.8;37.87;37.36;37.35;37.49;37.29;36.46;36.46;36.46
